Class,RaisedHands,VisITedResources,AnnouncementsView,Discussion
H,70.28873239436619,78.74647887323944,53.38028169014085,53.66197183098591
L,16.88976377952756,18.322834645669293,15.5748031496063,30.834645669291337
M,48.93838862559242,60.63507109004739,40.96208530805687,43.791469194312796
